"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2623","test_login_with_invalid_credentials[2-11]","tests","Sun May 04 13:25:50 BST 2025","passed","Sun May 04 13:25:52 BST 2025","TestLoginNegative","test_login_negative","",""
"","23472","test_fake_elements_are_not_visible[9-11]","tests","Sun May 04 13:35:00 BST 2025","passed","Sun May 04 13:35:24 BST 2025","TestUINegative","test_ui_negative","",""
"","2804","test_product_page_ui_elements[4-11]","tests","Sun May 04 13:30:21 BST 2025","passed","Sun May 04 13:30:24 BST 2025","TestUIElements","test_ui_elements","",""
"","2689","test_login_with_invalid_credentials[8-11]","tests","Sun May 04 13:26:29 BST 2025","passed","Sun May 04 13:26:32 BST 2025","TestLoginNegative","test_login_negative","",""
"","3529","test_product_sorting_all_methods[6-11]","tests","Sun May 04 13:29:11 BST 2025","passed","Sun May 04 13:29:15 BST 2025","TestProductSorting","test_product_sorting","",""
"","2711","test_login_successful[10-11]","tests","Sun May 04 13:25:28 BST 2025","passed","Sun May 04 13:25:31 BST 2025","TestLogin","test_login","",""
"","2691","test_login_with_invalid_credentials[1-11]","tests","Sun May 04 13:25:43 BST 2025","passed","Sun May 04 13:25:45 BST 2025","TestLoginNegative","test_login_negative","",""
"","2780","test_product_page_ui_elements[9-11]","tests","Sun May 04 13:30:57 BST 2025","passed","Sun May 04 13:30:59 BST 2025","TestUIElements","test_ui_elements","",""
"","4092","test_checkout_successful[5-11]","tests","Sun May 04 13:21:54 BST 2025","passed","Sun May 04 13:21:58 BST 2025","TestCheckoutProcess","test_checkout","",""
"","2784","test_product_page_ui_elements[3-11]","tests","Sun May 04 13:30:14 BST 2025","passed","Sun May 04 13:30:17 BST 2025","TestUIElements","test_ui_elements","",""
"","23292","test_fake_elements_are_not_visible[3-11]","tests","Sun May 04 13:32:13 BST 2025","passed","Sun May 04 13:32:37 BST 2025","TestUINegative","test_ui_negative","",""
"","4188","test_checkout_successful[11-11]","tests","Sun May 04 13:22:44 BST 2025","passed","Sun May 04 13:22:48 BST 2025","TestCheckoutProcess","test_checkout","",""
"","4175","test_checkout_successful[10-11]","tests","Sun May 04 13:22:35 BST 2025","passed","Sun May 04 13:22:40 BST 2025","TestCheckoutProcess","test_checkout","",""
"","1822","test_login_with_invalid_credentials[7-11]","tests","Sun May 04 13:26:23 BST 2025","passed","Sun May 04 13:26:25 BST 2025","TestLoginNegative","test_login_negative","",""
"","23292","test_fake_elements_are_not_visible[10-11]","tests","Sun May 04 13:35:28 BST 2025","passed","Sun May 04 13:35:51 BST 2025","TestUINegative","test_ui_negative","",""
"","23182","test_fake_elements_are_not_visible[1-11]","tests","Sun May 04 13:31:18 BST 2025","passed","Sun May 04 13:31:41 BST 2025","TestUINegative","test_ui_negative","",""
"","3037","test_add_single_product_to_cart[10-11]","tests","Sun May 04 13:21:05 BST 2025","passed","Sun May 04 13:21:08 BST 2025","TestAddToCart","test_add_to_cart","",""
"","3029","test_add_single_product_to_cart[6-11]","tests","Sun May 04 13:20:35 BST 2025","passed","Sun May 04 13:20:38 BST 2025","TestAddToCart","test_add_to_cart","",""
"","2794","test_login_successful[11-11]","tests","Sun May 04 13:25:35 BST 2025","passed","Sun May 04 13:25:38 BST 2025","TestLogin","test_login","",""
"","4138","test_checkout_successful[1-11]","tests","Sun May 04 13:21:19 BST 2025","passed","Sun May 04 13:21:24 BST 2025","TestCheckoutProcess","test_checkout","",""
"","3664","test_product_sorting_all_methods[9-11]","tests","Sun May 04 13:29:35 BST 2025","passed","Sun May 04 13:29:39 BST 2025","TestProductSorting","test_product_sorting","",""
"","3829","test_checkout_with_empty_fields[5-11]","tests","Sun May 04 13:23:26 BST 2025","passed","Sun May 04 13:23:30 BST 2025","TestCheckoutNegative","test_checkout_negative","",""
"","3472","test_logout_successfully[7-11]","tests","Sun May 04 13:27:49 BST 2025","passed","Sun May 04 13:27:52 BST 2025","TestLogout","test_logout","",""
"","2697","test_product_page_ui_elements[1-11]","tests","Sun May 04 13:30:00 BST 2025","passed","Sun May 04 13:30:02 BST 2025","TestUIElements","test_ui_elements","",""
"","3699","test_product_sorting_all_methods[5-11]","tests","Sun May 04 13:29:03 BST 2025","passed","Sun May 04 13:29:07 BST 2025","TestProductSorting","test_product_sorting","",""
"","23389","test_fake_elements_are_not_visible[6-11]","tests","Sun May 04 13:33:36 BST 2025","passed","Sun May 04 13:34:00 BST 2025","TestUINegative","test_ui_negative","",""
"","3094","test_add_single_product_to_cart[2-11]","tests","Sun May 04 13:20:05 BST 2025","passed","Sun May 04 13:20:08 BST 2025","TestAddToCart","test_add_to_cart","",""
"","4107","test_checkout_successful[7-11]","tests","Sun May 04 13:22:11 BST 2025","passed","Sun May 04 13:22:15 BST 2025","TestCheckoutProcess","test_checkout","",""
"","2668","test_login_with_invalid_credentials[4-11]","tests","Sun May 04 13:26:03 BST 2025","passed","Sun May 04 13:26:05 BST 2025","TestLoginNegative","test_login_negative","",""
"","4083","test_checkout_successful[8-11]","tests","Sun May 04 13:22:19 BST 2025","passed","Sun May 04 13:22:23 BST 2025","TestCheckoutProcess","test_checkout","",""
"","3470","test_logout_successfully[5-11]","tests","Sun May 04 13:27:32 BST 2025","passed","Sun May 04 13:27:35 BST 2025","TestLogout","test_logout","",""
"","4145","test_checkout_successful[2-11]","tests","Sun May 04 13:21:28 BST 2025","passed","Sun May 04 13:21:32 BST 2025","TestCheckoutProcess","test_checkout","",""
"","4057","test_checkout_successful[4-11]","tests","Sun May 04 13:21:45 BST 2025","passed","Sun May 04 13:21:49 BST 2025","TestCheckoutProcess","test_checkout","",""
"","3790","test_checkout_with_empty_fields[10-11]","tests","Sun May 04 13:24:07 BST 2025","passed","Sun May 04 13:24:11 BST 2025","TestCheckoutNegative","test_checkout_negative","",""
"","3814","test_checkout_with_empty_fields[9-11]","tests","Sun May 04 13:23:59 BST 2025","passed","Sun May 04 13:24:03 BST 2025","TestCheckoutNegative","test_checkout_negative","",""
"","3065","test_add_single_product_to_cart[9-11]","tests","Sun May 04 13:20:57 BST 2025","passed","Sun May 04 13:21:00 BST 2025","TestAddToCart","test_add_to_cart","",""
"","3413","test_logout_successfully[9-11]","tests","Sun May 04 13:28:05 BST 2025","passed","Sun May 04 13:28:08 BST 2025","TestLogout","test_logout","",""
"","3800","test_checkout_with_empty_fields[1-11]","tests","Sun May 04 13:22:53 BST 2025","passed","Sun May 04 13:22:56 BST 2025","TestCheckoutNegative","test_checkout_negative","",""
"","3812","test_checkout_with_empty_fields[8-11]","tests","Sun May 04 13:23:51 BST 2025","passed","Sun May 04 13:23:55 BST 2025","TestCheckoutNegative","test_checkout_negative","",""
"","2720","test_login_with_invalid_credentials[11-11]","tests","Sun May 04 13:26:50 BST 2025","passed","Sun May 04 13:26:53 BST 2025","TestLoginNegative","test_login_negative","",""
"","2963","test_add_single_product_to_cart[7-11]","tests","Sun May 04 13:20:42 BST 2025","passed","Sun May 04 13:20:45 BST 2025","TestAddToCart","test_add_to_cart","",""
"","3661","test_product_sorting_all_methods[8-11]","tests","Sun May 04 13:29:27 BST 2025","passed","Sun May 04 13:29:31 BST 2025","TestProductSorting","test_product_sorting","",""
"","2729","test_login_successful[5-11]","tests","Sun May 04 13:24:52 BST 2025","passed","Sun May 04 13:24:55 BST 2025","TestLogin","test_login","",""
"","2961","test_add_single_product_to_cart[4-11]","tests","Sun May 04 13:20:20 BST 2025","passed","Sun May 04 13:20:23 BST 2025","TestAddToCart","test_add_to_cart","",""
"","3501","test_logout_successfully[2-11]","tests","Sun May 04 13:27:07 BST 2025","passed","Sun May 04 13:27:10 BST 2025","TestLogout","test_logout","",""
"","2754","test_product_page_ui_elements[2-11]","tests","Sun May 04 13:30:07 BST 2025","passed","Sun May 04 13:30:09 BST 2025","TestUIElements","test_ui_elements","",""
"","3418","test_logout_successfully[6-11]","tests","Sun May 04 13:27:40 BST 2025","passed","Sun May 04 13:27:43 BST 2025","TestLogout","test_logout","",""
"","2678","test_product_page_ui_elements[7-11]","tests","Sun May 04 13:30:42 BST 2025","passed","Sun May 04 13:30:45 BST 2025","TestUIElements","test_ui_elements","",""
"","3933","test_checkout_with_empty_fields[3-11]","tests","Sun May 04 13:23:09 BST 2025","passed","Sun May 04 13:23:13 BST 2025","TestCheckoutNegative","test_checkout_negative","",""
"","2874","test_add_single_product_to_cart[5-11]","tests","Sun May 04 13:20:27 BST 2025","passed","Sun May 04 13:20:30 BST 2025","TestAddToCart","test_add_to_cart","",""
"","2255","test_login_with_invalid_credentials[5-11]","tests","Sun May 04 13:26:09 BST 2025","passed","Sun May 04 13:26:11 BST 2025","TestLoginNegative","test_login_negative","",""
"","23384","test_fake_elements_are_not_visible[8-11]","tests","Sun May 04 13:34:32 BST 2025","passed","Sun May 04 13:34:56 BST 2025","TestUINegative","test_ui_negative","",""
"","3812","test_checkout_with_empty_fields[6-11]","tests","Sun May 04 13:23:34 BST 2025","passed","Sun May 04 13:23:38 BST 2025","TestCheckoutNegative","test_checkout_negative","",""
"","3807","test_checkout_with_empty_fields[4-11]","tests","Sun May 04 13:23:18 BST 2025","passed","Sun May 04 13:23:21 BST 2025","TestCheckoutNegative","test_checkout_negative","",""
"","2746","test_product_page_ui_elements[6-11]","tests","Sun May 04 13:30:35 BST 2025","passed","Sun May 04 13:30:38 BST 2025","TestUIElements","test_ui_elements","",""
"","4113","test_checkout_successful[3-11]","tests","Sun May 04 13:21:37 BST 2025","passed","Sun May 04 13:21:41 BST 2025","TestCheckoutProcess","test_checkout","",""
"","2659","test_login_with_invalid_credentials[10-11]","tests","Sun May 04 13:26:43 BST 2025","passed","Sun May 04 13:26:46 BST 2025","TestLoginNegative","test_login_negative","",""
"","4022","test_checkout_with_empty_fields[7-11]","tests","Sun May 04 13:23:42 BST 2025","passed","Sun May 04 13:23:46 BST 2025","TestCheckoutNegative","test_checkout_negative","",""
"","2806","test_login_successful[7-11]","tests","Sun May 04 13:25:07 BST 2025","passed","Sun May 04 13:25:09 BST 2025","TestLogin","test_login","",""
"","2706","test_login_successful[1-11]","tests","Sun May 04 13:24:24 BST 2025","passed","Sun May 04 13:24:27 BST 2025","TestLogin","test_login","",""
"","4072","test_checkout_successful[9-11]","tests","Sun May 04 13:22:27 BST 2025","passed","Sun May 04 13:22:31 BST 2025","TestCheckoutProcess","test_checkout","",""
"","2759","test_login_successful[6-11]","tests","Sun May 04 13:24:59 BST 2025","passed","Sun May 04 13:25:02 BST 2025","TestLogin","test_login","",""
"","3423","test_logout_successfully[3-11]","tests","Sun May 04 13:27:15 BST 2025","passed","Sun May 04 13:27:18 BST 2025","TestLogout","test_logout","",""
"","3825","test_product_sorting_all_methods[11-11]","tests","Sun May 04 13:29:51 BST 2025","passed","Sun May 04 13:29:55 BST 2025","TestProductSorting","test_product_sorting","",""
"","2732","test_product_page_ui_elements[5-11]","tests","Sun May 04 13:30:28 BST 2025","passed","Sun May 04 13:30:31 BST 2025","TestUIElements","test_ui_elements","",""
"","2790","test_login_successful[8-11]","tests","Sun May 04 13:25:14 BST 2025","passed","Sun May 04 13:25:17 BST 2025","TestLogin","test_login","",""
"","3856","test_checkout_with_empty_fields[11-11]","tests","Sun May 04 13:24:15 BST 2025","passed","Sun May 04 13:24:19 BST 2025","TestCheckoutNegative","test_checkout_negative","",""
